epoch,train_loss,train_acc,val_top1,val_top5,best_val_top1,lr,epoch_time_sec,loss,loss_params
22,4.173146027929836,25.048003671695476,56.212,80.558,56.534,0.09230483957342053,2364.4712085723877,ce,{}
23,4.176335025398223,25.169144644819664,54.95,79.534,56.534,0.0914005275529854,2446.487384080887,ce,{}
24,4.154956217638226,25.18381893795584,56.042,80.302,56.534,0.09045094521025016,2404.681087255478,ce,{}
25,4.147570521362965,25.282792361874314,56.214,80.522,56.534,0.08945713089956496,2383.139549970627,ce,{}
26,4.1366419356261614,25.429066964731742,57.27,81.744,57.27,0.08842017134228751,2352.449408531189,ce,{}
27,4.115944396581239,25.878272055150365,58.808,82.496,58.808,0.08734120043846919,2429.436015844345,ce,{}
28,4.113258486182817,25.68664764212209,58.904,82.308,58.904,0.08622139802695204,2448.110114812851,ce,{}
29,4.099899841052857,26.050929163752624,56.79,81.238,58.904,0.08506198859523227,2389.4378159046173,ce,{}
30,4.099217018269792,26.133433035268258,59.32,82.858,59.32,0.08386423994050123,2338.5499215126038,ce,{}
31,4.099568704134792,26.51348161654511,59.356,82.984,59.356,0.08262946178332765,2235.8360126018524,ce,{}
32,4.07233722777571,26.17511427215506,59.45,83.302,59.45,0.0813590043354976,2248.981226682663,ce,{}
33,4.0633537534210085,26.57007131082026,56.564,81.06,59.45,0.0800542568235776,2189.0599937438965,ce,{}
34,4.054206888043734,26.951212658607254,59.836,83.464,59.836,0.07871664596981583,2060.2638187408447,ce,{}
35,4.063450320091671,26.807591917274454,58.812,82.802,59.836,0.07734763443204229,2243.848653793335,ce,{}
36,4.029942331977248,26.89626211409731,56.7,80.752,59.836,0.07594871920427386,2286.365639925003,ce,{}
37,4.038763040571568,26.822890648416426,61.21,84.302,61.21,0.07452142997977347,2267.4126148223877,ce,{}
38,4.020717810293406,27.197553451893295,60.806,83.978,61.21,0.07306732747835289,2256.117948293686,ce,{}
39,4.002301893292374,27.707953466879808,61.976,84.734,61.976,0.07158800173974846,2268.0264208316803,ce,{}
40,4.006246597881929,27.424614721750423,58.082,82.054,61.976,0.07008507038493614,2268.3382596969604,ce,{}
41,4.0007220524652505,27.56058609751224,59.996,83.546,61.976,0.06856017684728656,2266.6342148780823,ce,{}
42,3.970323292212668,28.051628534319114,60.622,84.256,61.976,0.06701498857549491,2265.0898067951202,ce,{}
43,3.98326938742345,28.019313867519234,59.18,82.702,61.976,0.06545119521025018,2273.0740065574646,ce,{}
44,3.957213872176258,28.312643620741333,61.442,84.456,61.976,0.06387050673663786,2280.3441274166107,ce,{}
45,3.939518181900602,28.62213070736337,61.07,83.99,61.976,0.062274651614296385,2258.2825293540955,ce,{}
46,3.9355001256639564,28.485769057847936,60.558,83.95,61.976,0.06066537488737198,2234.0755224227905,ce,{}
47,3.9159855216351502,28.663343615745827,63.194,85.668,63.194,0.05904443627633832,2134.378450870514,ce,{}
48,3.916941242506721,28.505282745529023,63.06,85.314,63.194,0.057413608253768234,2235.2599132061005,ce,{}
49,3.8982066773000996,28.42824270656409,62.408,85.366,63.194,0.055774674106160826,2228.2924308776855,ce,{}
50,3.897905637220089,28.98539751723449,62.75,85.602,63.194,0.05412942598394388,2229.854244709015,ce,{}
51,3.877667112109401,29.706623413927467,62.77,85.434,63.194,0.052479662941783786,2259.4441788196564,ce,{}
52,3.8741964196477547,29.533263812568688,63.468,85.864,63.468,0.050827188971345534,2283.5308952331543,ce,{}
53,3.845257155294244,29.53076606054551,61.538,84.65,63.468,0.04917381102865446,2307.042207479477,ce,{}
54,3.844553279929114,29.69561769407533,62.952,85.486,63.468,0.04752133705821623,2308.5447022914886,ce,{}
55,3.841139005059212,29.698661829353583,64.918,87.024,64.918,0.04587157401605613,2292.755697250366,ce,{}
56,3.8009190893349487,30.244967029673294,62.752,85.012,64.918,0.044226325893839194,2315.121685028076,ce,{}
57,3.7991589721664822,30.725550129883104,62.75,85.292,64.918,0.04258739174623176,2290.944639444351,ce,{}
58,3.775112610166277,30.890323708662205,62.618,85.076,64.918,0.04095656372366168,2254.8156027793884,ce,{}
