epoch,train_loss,train_acc,val_top1,val_top5,val_raw_top1,val_ema_top1,val_selected_source,best_val_top1,lr,epoch_time_sec,loss,loss_params
18,2.787020282430963,55.89714972527472,55.902,79.712,55.902,55.622,raw,55.902,0.09545037224919059,1479.4200222492218,ce,{}
19,2.770180316521571,56.28605769230769,59.448,82.096,56.29,59.448,ema,59.448,0.09473651912637325,1530.6668152809143,ce,{}
20,2.7584481516251196,56.58009958791209,56.402,79.268,56.14,56.402,ema,59.448,0.09397374782344883,1533.124031305313,ce,{}
21,2.7456047417829326,56.855855082417584,60.366,82.594,55.382,60.366,ema,60.366,0.0931628924196382,1568.4634635448456,ce,{}
22,2.735022333925897,57.08001373626374,60.504,82.656,57.5,60.504,ema,60.504,0.09230483957342053,1592.1092257499695,ce,{}
23,2.7257802212107314,57.28751717032967,59.38,82.22,56.978,59.38,ema,60.504,0.0914005275529854,1618.0910243988037,ce,{}
24,2.715735878499,57.51510989010989,60.986,83.502,56.43,60.986,ema,60.986,0.09045094521025016,1582.24071931839,ce,{}
25,2.703420629475143,57.86143543956044,62.91,84.794,57.128,62.91,ema,62.91,0.08945713089956496,1568.2636432647705,ce,{}
26,2.693760522538489,57.996737637362635,60.796,82.896,56.998,60.796,ema,62.91,0.08842017134228751,1542.291079044342,ce,{}
27,2.685414703652099,58.252747252747255,59.664,82.274,58.514,59.664,ema,62.91,0.08734120043846919,1453.4840443134308,ce,{}
28,2.675331391659412,58.4193853021978,62.564,84.282,57.542,62.564,ema,62.91,0.08622139802695204,1433.3285462856293,ce,{}
29,2.664061892687619,58.68569711538461,61.404,83.394,57.376,61.404,ema,62.91,0.08506198859523227,1406.5400335788727,ce,{}
30,2.65755155987792,58.900755494505496,61.782,83.802,57.424,61.782,ema,62.91,0.08386423994050123,1417.7357623577118,ce,{}
31,2.6448646018793296,59.14320054945055,61.098,83.332,59.032,61.098,ema,62.91,0.08262946178332765,1379.1534748077393,ce,{}
32,2.6397809053253343,59.24175824175824,62.346,83.86,57.486,62.346,ema,62.91,0.0813590043354976,1384.7036621570587,ce,{}
33,2.62818350818131,59.597441620879124,61.62,83.85,59.716,61.62,ema,62.91,0.0800542568235776,1413.0849261283875,ce,{}
34,2.619503581392896,59.73626373626374,62.964,84.292,59.662,62.964,ema,62.964,0.07871664596981583,1405.9783964157104,ce,{}
35,2.6083552159319865,60.004635989010985,62.934,84.998,59.648,62.934,ema,62.964,0.07734763443204229,1413.9822137355804,ce,{}
36,2.600045415988335,60.22965315934066,65.454,86.332,60.016,65.454,ema,65.454,0.07594871920427386,1375.3356668949127,ce,{}
37,2.5903938704401583,60.46231112637363,63.446,84.694,59.536,63.446,ema,65.454,0.07452142997977347,1430.0468826293945,ce,{}
38,2.5806875986057323,60.63538804945055,64.254,85.492,59.258,64.254,ema,65.454,0.07306732747835289,1430.333568572998,ce,{}
39,2.5691063492114727,60.8828125,63.858,85.19,60.062,63.858,ema,65.454,0.07158800173974846,1471.1070294380188,ce,{}
40,2.559457000140305,61.152730082417584,62.206,84.078,60.058,62.206,ema,65.454,0.07008507038493614,1436.8168489933014,ce,{}
41,2.5506106944398566,61.37757554945055,63.93,85.05,59.81,63.93,ema,65.454,0.06856017684728656,1453.0151162147522,ce,{}
42,2.5382747359590216,61.689217032967036,63.528,85.054,61.054,63.528,ema,65.454,0.06701498857549491,1471.6419496536255,ce,{}
43,2.5274988768650934,61.924708104395606,63.954,85.3,60.986,63.954,ema,65.454,0.06545119521025018,1444.4734795093536,ce,{}
44,2.5179923607752874,62.16972870879121,63.976,85.34,60.492,63.976,ema,65.454,0.06387050673663786,1415.0502183437347,ce,{}
45,2.5075042130658916,62.37019230769231,63.282,85.056,61.456,63.282,ema,65.454,0.062274651614296385,1432.3439574241638,ce,{}
46,2.4960087670336715,62.62920673076923,62.77,84.598,61.788,62.77,ema,65.454,0.06066537488737198,1442.3085713386536,ce,{}
47,2.4828023449929204,62.95913461538461,62.948,84.474,62.266,62.948,ema,65.454,0.05904443627633832,1442.6220149993896,ce,{}
48,2.474269035386515,63.184237637362635,64.962,86.196,62.31,64.962,ema,65.454,0.057413608253768234,1416.1903975009918,ce,{}
